_id,aha1,aha2,aha3,beforeBreakMovesets[0][0],beforeBreakMovesets[1][0],beforeBreakMovesets[2][0],beforeBreakMovesets[3][0],beforeBreakMovesets[4][0],beforeBreakMovesets[5][0],beforeBreakMovesets[6][0],beforeBreakMovesets[7][0],beforeBreakMovesets[8][0],beforeBreakMovesets[9][0],beforeBreakMovesets[10][0],beforeBreakMovesets[11][0],beforeBreakMovesets[12][0],beforeBreakMovesets[13][0],beforeBreakMovesets[14][0],beforeBreakMovesets[15][0],beforeBreakMovesets[16][0],beforeBreakMovesets[17][0],beforeBreakMovesets[18][0],beforeBreakMovesets[19][0],beforeBreakMovesets[20][0],beforeBreakMovesets[21][0],beforeBreakMovesets[22][0],beforeBreakMovesets[23][0],beforeBreakMovesets[24][0],beforeBreakMovesets[25][0],beforeBreakMovesets[26][0],beforeBreakMovesets[27][0],beforeBreakMovesets[28][0],beforeBreakMovesets[29][0],beforeBreakMovesets[30][0],beforeBreakMovesets[31][0],beforeBreakMovesets[32][0],beforeBreakMovesets[33][0],beforeBreakMovesets[34][0],beforeBreakMovesets[35][0],beforeBreakMovesets[36][0],beforeBreakMovesets[37][0],beforeBreakMovesets[38][0],beforeBreakMovesets[39][0],beforeBreakMovesets[40][0],beforeBreakMovesets[41][0],beforeBreakMovesets[42][0],beforeBreakMovesets[43][0],beforeBreakMovesets[44][0],beforeBreakMovesets[45][0],beforeBreakMovesets[46][0],beforeBreakMovesets[47][0],beforeBreakMovesets[48][0],beforeBreakMovesets[49][0],beforeBreakMovesets[50][0],beforeBreakMovesets[51][0],beforeBreakMovesets[52][0],beforeBreakMovesets[53][0],beforeBreakMovesets[54][0],beforeBreakMovesets[55][0],beforeBreakMovesets[56][0],beforeBreakMovesets[57][0],beforeBreakMovesets[58][0],completedEarly,completedLevel,condition,correctValue,difficultyValue,durationAfterBreak,durationBeforeBreak,durationBreak,durationToBeatGame,idleTime,incorrectValue,levelNumber,nm1,nm2,nm3,playerId,prolificPID,r1b,r2b,r3b,scrollCount,sessionID,stuckValue,studyID,afterBreakMovesets[0][0],afterBreakMovesets[1][0],afterBreakMovesets[2][0],afterBreakMovesets[3][0],afterBreakMovesets[4][0],afterBreakMovesets[5][0],afterBreakMovesets[6][0],afterBreakMovesets[7][0],afterBreakMovesets[8][0],afterBreakMovesets[9][0],afterBreakMovesets[10][0],afterBreakMovesets[11][0],afterBreakMovesets[12][0],afterBreakMovesets[13][0],afterBreakMovesets[14][0],afterBreakMovesets[15][0],afterBreakMovesets[16][0],afterBreakMovesets[17][0],afterBreakMovesets[18][0],afterBreakMovesets[19][0],afterBreakMovesets[20][0],afterBreakMovesets[21][0],afterBreakMovesets[22][0],afterBreakMovesets[23][0],afterBreakMovesets[24][0],afterBreakMovesets[25][0],afterBreakMovesets[26][0],afterBreakMovesets[27][0],afterBreakMovesets[28][0],afterBreakMovesets[29][0],afterBreakMovesets[30][0],afterBreakMovesets[31][0],e1,e2,e3,f1,f2,f3,mw1,mw2,mw3,pw,r1,r2,r3,ra
6605e3c91b35cda2746f5d29,2,2,4,luurdldrrldl,udrrddlludrruulldlurrr,rrddlludrruullulduuurddldrddrruull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,6,123.46,180.00,397.55,701.01,233,,5,5,5,5,1711660903330495943,63fd36ced691b83466652931,4,4,4,6,6605df4be345a478af4a7548,3,65f423754adf51958397327d,rrddlludrruullulduuurdddrrddlludrruull,rrddlludrruulldluuurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,4,5,3,6,6,6,2,4,5,4,5
6605e3d11b35cda2746f5d2c,6,6,7,uluurddldrr,rrddlludrruullulduuurdddrrddlludrruull,rrddlludrruulldluu,rrddlludrruulluluurdddrrddlluluuddrdrruullulduruuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,null,null,null,170.07,114,,5,,,,1711661553454467240,65e5e9c2c0bfcbcbe835ec4d,,,,,6605e1e9c0fe8f3a40b7f598,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e3fe1b35cda2746f5d37,1,1,5,rrddlludrruull,luurdldrdurl,uldrrrddlludrruullulduuurddldrddrruulrdd,uddluuuurddlddrud,rrddlludrruullulduuurddldrddrruulld,luurdldr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,7,128.75,129.77,236.25,494.77,171,,5,5,5,5,1711661403757551405,5e3bba50f0bf0f3d1856238e,3,4,3,22,6605e1578e101be70d653b86,7,65f423754adf51958397327d,luurdldrd,rrddlludrruulluddluu,rrddlludrruulluld,rrddllulurluurdd,rrddlludrruulluluurddduldrrrddlludrruulld,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,3,5,5,6,6,6,1,3,3,3,6
6605e4ad1b35cda2746f5d62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711661025171144015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,3,2,2,1,2,3,4,4
6605e4831b35cda2746f5d5c,6,6,6,luurdldr,d,rrddlludrruulldluu,rrddlludrruulluluurdddrrddlluluuddrdrruulluldruuuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,null,null,null,89.54,50,,5,,,,1711661763217325976,65cd4847de506510669b4c00,,,,,6605e298008125b564432f16,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e5141b35cda2746f5d7c,2,4,3,uluurddldrrl,rrddlludrruullulduuurddld,udrrddlludrruulluluurddduldrrrddllu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,20,6,121.06,131.14,281.31,533.51,170,0,5,5,5,3,1711661673185526367,5fadd628cd4e9e1c42dab969,3,4,4,,6605e25aa4614f9e5833fa9a,6,65f423754adf51958397327d,luurdldr,udrrddllulurluuurdddl,rrddllulurluurddrld,rrddlludrruulldluuurdlddrdrruull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,5,3,4,4,6,5,5,3,4,3,3
6605e52a1b35cda2746f5d8a,4,5,5,rrddlludrruulluluurddduldrrrddll,udrrddlludrruulluluurddldu,rrddlludrruulluluurdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,4,180.58,169.00,267.38,616.96,318,,5,5,5,5,1711661380281936794,5dd48040a71de846ce2dbff3,3,4,3,3,6605dc8cfba549ba13632fa5,5,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,6,5,6,1,3,3,4,4
6605e55d1b35cda2746f5d92,3,4,4,uddurrddl,luurdldr,uuddd,d,u,l,rrddlludrruullulduuurddldrddrruull,udrrddlludrruulluldruul,luurdldrl,rrddllulurrlddrru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,6,121.37,127.44,229.20,478.01,149,,5,6,6,5,1711661799808827412,657321b58a2c0bd3704727d5,3,3,4,36,6605e2dda8876c1d1907598b,7,65f423754adf51958397327d,uldrd,rrddlludrruulldlur,rrddlludrruull,luurdldru,rrddlludrruullulduuurdddrrddlludrruull,duu,u,u,u,d,d,u,ud,d,lu,r,ul,ul,u,,,,,,,,,,,,,,6,4,2,5,5,6,5,5,6,5,3,3,3,5
6605e58b1b35cda2746f5d9c,5,7,7,uluurddld,rrddlludrruullulduuurdddrrddlludrruull,rrddlludrruullulduuurdddrrddlluuu,luurdl,durrddl,rrddlludrruulldluuu,rrddlludrruulluluurdddrrddlluluuddrdrruulluldruuuld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,null,null,null,94.46,34,,5,,,,1711662262788105342,5b20c0474c72120001f25d90,,,,,6605e48b71e54d3223da0746,,65f423754adf51958397327d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605e5cc1b35cda2746f5da6,2,2,2,uluurddldrrl,rrddlludrruullulduuurdddrrddlludrruulld,rrddlludrruulldluudruu,rrddlludrruullulduuurdddrrddlludrruullul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,6,6,165.12,120.59,308.19,593.90,167,0,5,5,5,5,1711661377197645442,61085df762ade24892b6fb01,2,2,2,,6605e1345743f6ec7f03547f,6,65f423754adf51958397327d,rrddllulurddrruullulduuurddldrddrruull,rrddlludrruullulduuurdddrrddlludrruull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,6,6,2,2,2,6,3,3,3,6
